#sn_name        z                zerr            bmag              bmagerr          s                serr            col               colerr              
sn2005gc        0.1655100        0.0000100       20.2280006        0.0290000        1.0020000        0.0180000        0.0150000        0.0170000
SDSS3150        0.3332680        0.0000100       22.2670002        0.0870000        0.9310000        0.0610000        0.0170000        0.0630000
SDSS3172        0.3169580        0.0000100       21.8729992        0.3030000        0.8830000        0.1310000       -0.0160000        0.0820000
SDSS3175        0.2211100        0.0000100       21.4179993        0.0750000        1.0990000        0.0470000       -0.1590000        0.0470000
SDSS3206        0.4170710        0.0000100       22.5499992        0.0680000        0.9430000        0.0550000       -0.1010000        0.0680000
SDSS3225        0.3419140        0.0000100       22.1520004        0.0790000        0.7840000        0.0410000       -0.0110000        0.0680000
sn2005gh        0.2590820        0.0000100       21.0459995        0.0580000        1.0720000        0.0370000       -0.1570000        0.0790000
sn2005hn        0.1082250        0.0000100       19.5039997        0.0490000        0.9610000        0.0150000       -0.0570000        0.0210000
sn2005ge        0.2131230        0.0000100       21.0949993        0.0410000        0.9700000        0.0280000        0.0980000        0.0440000
SDSS3341        0.4311120        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
SDSS3368        0.3774820        0.0000100       21.9239998        0.0680000        1.1180000        0.0620000       -0.0910000        0.0670000
SDSS3426        0.2326720        0.0000100       20.9920006        0.0480000        0.9620000        0.0360000       -0.2020000        0.0700000
